date,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12
2021-01-05,"1,166.776",946.179,743.944,808.381,789.264,834.298,695.91,685.043,205.398,109.083
2021-01-10,"1,046.314",839.253,627.736,705.219,599.282,618.129,505.546,465.532,130.911,75.567
2021-02-09,906.223,733.452,591.589,637.248,506.761,528.163,440.026,381.909,89.728,58.237
2021-02-14,912.924,746.886,591.835,657.068,530.41,548.09,461.961,399.032,104.029,60.629
2021-02-24,960.821,772.078,638.601,690.391,618.654,650.758,550.73,504.684,155.741,92.153
2021-03-06,917.489,765.793,619.219,695.027,595.747,620.422,519.329,459.729,93.812,50.562
2021-03-21,905.268,770.684,607.253,697.078,638.334,688.857,608.15,571.303,205.932,122.706
2021-04-15,907.173,780.22,620.809,699.869,632.55,682.95,595.05,570.912,231.759,131.259
2021-04-20,"1,065.21",953.464,796.833,897.514,957.693,"1,059.575",954.784,"1,008.095",579.276,354.119
2021-04-25,980.693,851.068,712.134,769.246,715.644,783.471,683.297,682.366,339.634,201.813
2021-04-30,992.878,862.084,727.3,803.239,858.853,938.17,851.055,886.264,492.225,294.838
2021-05-10,"1,126.61","1,022.878",928.853,"1,012.226","1,054.147","1,162.328","1,052.114","1,107.725",637.649,382.945
2021-05-15,985.413,850.922,693.012,747.274,621.392,666.431,557.162,514.014,182.679,104.992
2021-05-20,"1,093.642",973.717,854.425,897.382,816.676,881.544,787.111,775.388,441.516,291.266
2021-05-25,960.346,837.643,700.424,747.638,638.859,702.456,593.508,572.048,256.627,151.053
2021-05-30,920.676,793.031,665.735,707.16,572.494,616.116,521.21,480.144,172.516,103.878
2021-06-04,945.863,809.559,671.699,698.658,565.011,610.373,514.827,476.237,182.234,107.307
2021-06-09,"1,010.96",889.312,780.832,820.795,785.619,871.72,761.904,771.948,360.212,207.553
2021-06-14,"1,062.746",929.946,792.815,814.04,805.626,910.609,777.805,800.757,381.879,218.804
2021-06-19,"1,199.77","1,095.44","1,018.466","1,048.567",905.124,965.944,824.857,839.899,528.322,414.463
2021-06-24,937.331,800.826,637.211,665.955,517.336,565.931,454.488,414.9,121.553,66.482
2021-06-29,918.412,788.145,647.945,690.399,573.151,627.448,527.944,499.383,192.683,115.492
2021-07-04,"1,025.802",881.083,741.377,761.664,694.233,783.128,657.159,652.655,284.079,161.315
2021-07-09,951.771,798.237,654.267,683.894,592.108,648.686,532.854,505.339,156.192,93.202
2021-07-14,927.19,784.645,633.071,668.495,557.032,616.651,502.923,474.666,165.125,97.606
2021-07-19,999.402,860.002,723.639,754.654,703.029,769.443,663.534,662.587,309.118,191.127
2021-07-29,"1,012.545",892.833,740.253,796.317,701.397,769.166,656.414,653.381,316.146,204.461
2021-08-03,978.826,836.462,687.854,724.548,639.363,701.616,586.756,568.178,226.617,132.855
2021-08-08,"1,294.016","1,162.248","1,053.284","1,100.874","1,067.645","1,155.904","1,019.444","1,050.425",612.886,420.627
2021-08-13,922.426,793.872,623.25,670.459,543.895,599.072,488.2,461.457,169.572,92.652
2021-08-18,926.877,801.586,633.308,700.414,556.227,595.646,495.517,463.355,168.774,105.172
2021-08-23,"1,007.401",852.921,679.722,722.278,634.813,702.173,580.156,573.834,225.474,124.851
2021-08-28,"1,140.838",995.015,860.484,899.854,930.859,"1,027.365",894.603,953.797,524.827,313.087
2021-09-02,916.737,774.136,622.225,661.398,557.564,602.772,507.212,481.388,189.121,110.841
2021-09-17,936.515,781.329,619.347,653.569,534.318,569.5,471.641,440.01,156.744,94.767
2021-09-22,964.355,811.762,662.185,685.55,620.427,687.405,571.63,576.194,253.314,143.353
2021-09-27,948.778,794.107,654.162,690.171,610.866,660.064,564.957,547.758,246.85,157.691
2021-09-27,"1,163.941","1,180.732","1,287.428","1,500.275","1,971.254","2,176.331","2,158.103","2,411.677","2,417.377","1,626.122"
2021-10-02,"4,523.717","4,439.282","4,794.847","4,849.984","5,203.235","5,543.347","5,203.34","5,775.548","5,272.078","4,184.489"
2021-10-07,937.206,773.525,656.661,700.014,608.36,652.019,556.75,508.516,161.562,110.847
2021-10-22,982.846,807.056,635.507,674.088,562.05,596.124,496.959,468.328,194.128,124.811
2021-10-27,"1,017.999",843.975,668.344,745.233,654.127,691.524,581.065,559.606,214.547,134.733
2021-11-06,967.748,794.048,660.849,709.727,562.948,585.823,485.036,431.003,118.284,79.171
2021-11-11,"1,042.524",840.514,704.91,734.775,611.505,625.654,526.893,474.44,142.25,91.916
2021-11-16,"1,117.51",916.496,790.204,814.5,696.275,719.045,610.968,583.777,234.093,152.362
2021-12-06,"1,057.473",847.603,703,721.611,570.23,587.548,479.67,451.589,174.633,112.956
2021-12-11,"1,190.608",990.698,900.725,935.194,869.874,903.411,800.816,787.962,404.386,262.654
2021-12-26,"1,047.22",820.524,692.715,715.427,572.837,571.476,472.598,418.684,85.01,55.236
2022-01-10,"1,089.814",874.152,723.313,802.111,779.7,822.641,720.775,705.562,301.775,193.278
2022-01-30,"2,001.235","1,794.734","1,623.103","1,658.985","1,511.293","1,509.577","1,414.311","1,377.747","1,105.306","1,059.046"
2022-02-09,"1,978.379","1,789.01","1,625.844","1,645.155","1,505.934","1,510.902","1,420.245","1,385.886","1,120.248","1,067.949"
2022-03-01,"1,987.002","1,833.959","1,664.831","1,731.297","1,718.022","1,793.649","1,671.162","1,664.354","1,224.035","1,115.919"
2022-03-16,"1,905.41","1,745.236","1,608.321","1,655.289","1,516.829","1,525.689","1,449.036","1,379.662","1,113.052","1,074.607"
